,profile,allocation_IMM,mean_IMM,allocation_WMPM,mean_WMPM,mean_vote
302,"((0.2, 0.8), (0.5, 0.5), (0.5, 0.5))",[0.5 0.5],0.2,[0.5 0.5],0.2,[0.4 0.6]
303,"((0.2, 0.8), (0.5, 0.5), (0.6, 0.4))",[0.5 0.5],0.13333333333333347,[0.5 0.5],0.13333333333333347,[0.433 0.567]
304,"((0.2, 0.8), (0.5, 0.5), (0.7, 0.3))",[0.5 0.5],0.06666666666666671,[0.5 0.5],0.06666666666666671,[0.467 0.533]
305,"((0.2, 0.8), (0.5, 0.5), (0.8, 0.2))",[0.5 0.5],0.0,[0.5 0.5],0.0,[0.5 0.5]
306,"((0.2, 0.8), (0.5, 0.5), (0.9, 0.1))",[0.5 0.5],0.0666666666666666,[0.5 0.5],0.0666666666666666,[0.533 0.467]
307,"((0.2, 0.8), (0.5, 0.5), (1.0, 0.0))",[0.5 0.5],0.1333333333333333,[0.5 0.5],0.1333333333333333,[0.567 0.433]
308,"((0.2, 0.8), (0.6, 0.4), (0.0, 1.0))",[0.333 0.667],0.13333333084980653,[0.2 0.8],0.1333333333333333,[0.267 0.733]
309,"((0.2, 0.8), (0.6, 0.4), (0.1, 0.9))",[0.333 0.667],0.06666666418313988,[0.2 0.8],0.19999999999999996,[0.3 0.7]
310,"((0.2, 0.8), (0.6, 0.4), (0.2, 0.8))",[0.333 0.667],7.45058065243498e-09,[0.2 0.8],0.2666666666666667,[0.333 0.667]
311,"((0.2, 0.8), (0.6, 0.4), (0.3, 0.7))",[0.333 0.667],0.06666666915019348,[0.3 0.7],0.13333333333333325,[0.367 0.633]
312,"((0.2, 0.8), (0.6, 0.4), (0.4, 0.6))",[0.4 0.6],1.6653345369377348e-16,[0.4 0.6],1.6653345369377348e-16,[0.4 0.6]
313,"((0.2, 0.8), (0.6, 0.4), (0.5, 0.5))",[0.5 0.5],0.13333333333333341,[0.5 0.5],0.13333333333333341,[0.433 0.567]
314,"((0.2, 0.8), (0.6, 0.4), (0.6, 0.4))",[0.6 0.4],0.26666666666666666,[0.6 0.4],0.26666666666666666,[0.467 0.533]
315,"((0.2, 0.8), (0.6, 0.4), (0.7, 0.3))",[0.6 0.4],0.20000000000000007,[0.6 0.4],0.20000000000000007,[0.5 0.5]
316,"((0.2, 0.8), (0.6, 0.4), (0.8, 0.2))",[0.6 0.4],0.13333333333333336,[0.6 0.4],0.13333333333333336,[0.533 0.467]
317,"((0.2, 0.8), (0.6, 0.4), (0.9, 0.1))",[0.6 0.4],0.0666666666666666,[0.6 0.4],0.0666666666666666,[0.567 0.433]
318,"((0.2, 0.8), (0.6, 0.4), (1.0, 0.0))",[0.6 0.4],5.551115123125783e-17,[0.6 0.4],5.551115123125783e-17,[0.6 0.4]
319,"((0.2, 0.8), (0.7, 0.3), (0.0, 1.0))",[0.333 0.667],0.06666666418313988,[0.2 0.8],0.19999999999999996,[0.3 0.7]
320,"((0.2, 0.8), (0.7, 0.3), (0.1, 0.9))",[0.333 0.667],7.45058065243498e-09,[0.2 0.8],0.2666666666666667,[0.333 0.667]
321,"((0.2, 0.8), (0.7, 0.3), (0.2, 0.8))",[0.333 0.667],0.06666666915019342,[0.2 0.8],0.33333333333333326,[0.367 0.633]
322,"((0.2, 0.8), (0.7, 0.3), (0.3, 0.7))",[0.333 0.667],0.1333333358168602,[0.3 0.7],0.19999999999999996,[0.4 0.6]
323,"((0.2, 0.8), (0.7, 0.3), (0.4, 0.6))",[0.4 0.6],0.06666666666666649,[0.4 0.6],0.06666666666666649,[0.433 0.567]
324,"((0.2, 0.8), (0.7, 0.3), (0.5, 0.5))",[0.5 0.5],0.06666666666666671,[0.5 0.5],0.06666666666666671,[0.467 0.533]
325,"((0.2, 0.8), (0.7, 0.3), (0.6, 0.4))",[0.6 0.4],0.19999999999999996,[0.6 0.4],0.19999999999999996,[0.5 0.5]
326,"((0.2, 0.8), (0.7, 0.3), (0.7, 0.3))",[0.667 0.333],0.2666666691501936,[0.7 0.3],0.33333333333333337,[0.533 0.467]
327,"((0.2, 0.8), (0.7, 0.3), (0.8, 0.2))",[0.667 0.333],0.2000000024835269,[0.7 0.3],0.26666666666666666,[0.567 0.433]
328,"((0.2, 0.8), (0.7, 0.3), (0.9, 0.1))",[0.667 0.333],0.1333333358168603,[0.7 0.3],0.20000000000000007,[0.6 0.4]
329,"((0.2, 0.8), (0.7, 0.3), (1.0, 0.0))",[0.667 0.333],0.06666666915019359,[0.7 0.3],0.13333333333333336,[0.633 0.367]
330,"((0.2, 0.8), (0.8, 0.2), (0.0, 1.0))",[0.333 0.667],7.45058065243498e-09,[0.2 0.8],0.2666666666666667,[0.333 0.667]
331,"((0.2, 0.8), (0.8, 0.2), (0.1, 0.9))",[0.333 0.667],0.06666666915019359,[0.2 0.8],0.3333333333333334,[0.367 0.633]
332,"((0.2, 0.8), (0.8, 0.2), (0.2, 0.8))",[0.333 0.667],0.1333333358168602,[0.2 0.8],0.4,[0.4 0.6]
